Date,Open,High,Low,Close,Adj Close,Volume
01/12/2001,26.120001,27.48,26.120001,27.42,6.866917,0
01/01/2002,27.379999,27.860001,27.26,27.860001,7.027264,0
01/02/2002,27.799999,27.799999,27.07,27.690001,6.984383,0
01/03/2002,27.98,29.33,27.98,29.33,7.398047,0
01/04/2002,29.24,30.290001,29.040001,30.290001,7.640194,0
01/05/2002,30.370001,30.65,29.950001,30.1,7.592271,0
01/06/2002,29.690001,29.690001,28.790001,29.25,7.377869,0
01/07/2002,28.870001,28.870001,25.01,26.700001,6.734672,0
01/08/2002,26.459999,27.549999,25.33,26.49,6.6817,0
01/09/2002,25.93,26.34,23.639999,23.76,5.9931,0
01/10/2002,23.99,24.780001,22.02,24.66,6.359643,0
01/11/2002,25.120001,26.299999,24.34,26.290001,6.78001,0
01/12/2002,26.33,26.33,24.93,25.17,6.491168,0
01/01/2003,25.809999,26.219999,24.370001,24.59,6.34159,0
01/02/2003,24.6,24.6,23.41,23.74,6.122381,0
01/03/2003,23.65,24.370001,22.559999,23.65,6.099171,0
01/04/2003,23.77,25.809999,23.77,25.809999,6.656219,0
01/05/2003,25.83,27.91,25.83,27.91,7.197795,0
01/06/2003,28.129999,29.25,28.059999,28.690001,7.398949,0
01/07/2003,28.780001,30.120001,28.780001,30.08,7.75742,0
01/08/2003,29.780001,31.33,29.34,31.33,8.07979,0
01/09/2003,31.73,32.349998,31.07,31.120001,8.02563,0
01/10/2003,31.709999,33.259998,31.709999,33.200001,8.564715,0
01/11/2003,33.580002,34.32,33.23,34.32,8.853645,0
01/12/2003,34.610001,35.130001,33.709999,34.98,9.023909,0
01/01/2004,35.029999,36.650002,35.029999,35.93,9.391047,0
01/02/2004,35.950001,37.060001,35.540001,36.98,9.665487,0
01/03/2004,37.360001,37.450001,35.740002,37.029999,9.678554,0
01/04/2004,37.32,37.630001,36.130001,36.130001,9.443319,0
01/05/2004,36.23,36.459999,34.57,36.23,9.469461,0
01/06/2004,36.310001,37.490002,36.09,37.490002,9.798789,0
01/07/2004,37.16,37.16,35.610001,36.18,9.456389,0
01/08/2004,36.25,36.25,34.950001,36.07,9.427643,0
01/09/2004,36.299999,36.720001,34.860001,35.810001,9.359685,0
01/10/2004,36.23,36.549999,35.310001,36.299999,9.934142,0
01/11/2004,36.41,39.200001,36.41,39.200001,10.727777,0
01/12/2004,39.669998,40.25,38.970001,40.25,11.015134,0
01/01/2005,39.830002,39.830002,38.720001,39.450001,10.933242,0
01/02/2005,39.720001,40.810001,39.720001,40.700001,11.279665,0
01/03/2005,40.939999,41.360001,39.310001,39.860001,11.046869,0
01/04/2005,39.740002,40.049999,37.66,37.98,10.525844,0
01/05/2005,38.23,39.84,37.91,39.84,11.041323,0
01/06/2005,39.939999,41.169998,39.939999,41.099998,11.390522,0
01/07/2005,41.18,42.790001,41.18,42.68,11.828407,0
01/08/2005,42.84,43.099998,41.849998,42.639999,11.81732,0
01/09/2005,42.77,43.18,40.540001,41.290001,11.443179,0
01/10/2005,41.369999,41.369999,38.59,39.540001,11.401178,0
01/11/2005,39.619999,41.459999,39.619999,41.299999,11.908665,0
01/12/2005,41.799999,42.380001,40.610001,40.84,11.776027,0
01/01/2006,41.450001,43.529999,41.450001,43.529999,12.922646,0
01/02/2006,43.540001,43.639999,42.419998,43.259998,12.842496,0
01/03/2006,43.619999,44.400002,42.639999,44.360001,13.169046,0
01/04/2006,44.41,45.290001,44.150002,45.240002,13.430291,0
01/05/2006,45.209999,46.119999,42.91,43.43,12.892958,0
01/06/2006,43.84,43.98,40.889999,42.91,12.738589,0
01/07/2006,43.119999,43.119999,41.040001,42.400002,12.587186,0
01/08/2006,42.119999,43.18,41.720001,43.18,12.818746,0
01/09/2006,43.389999,43.580002,39.189999,40.099998,11.90439,0
01/10/2006,40.049999,41.91,39.900002,41.5,13.462615,0
01/11/2006,41.110001,43.23,41.110001,43.23,14.023826,0
01/12/2006,43.169998,43.869999,43.169998,43.540001,14.12439,0
01/01/2007,43.450001,44.07,42.889999,44.07,14.454473,0
01/02/2007,44.450001,45.5,43.91,43.950001,14.415113,0
01/03/2007,43.73,44.939999,42.470001,44.669998,14.651268,0
01/04/2007,44.810001,46.669998,44.810001,46.130001,15.130136,0
01/05/2007,46.16,47.939999,46.16,47.939999,15.723791,0
01/06/2007,48.299999,48.400002,46.779999,47.5,15.579475,0
01/07/2007,48.040001,48.959999,45.220001,45.380001,14.884142,0
01/08/2007,45.080002,45.669998,42.939999,45.060001,14.779186,0
01/09/2007,45.470001,45.470001,42,44.040001,14.444636,0
01/10/2007,44.709999,45.57,43.549999,45.360001,15.622154,0
01/11/2007,44.209999,44.279999,41.240002,42.52,14.64405,0
01/12/2007,42.310001,43.84,40.09,41.130001,14.165326,0
01/01/2008,40.759998,40.759998,36.799999,39.080002,13.979216,0
01/02/2008,39.619999,40.220001,38.07,38.689999,13.839705,0
01/03/2008,38.610001,38.68,36.759998,37.990002,13.589312,0
01/04/2008,39.029999,40.310001,38.450001,39.919998,14.279685,0
